nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
MALIETOA SEULI HINGANO,Aviron Bayonnais,Centre,27 Janvier 1992,Australie,,
Takeshi HINO,Stade Toulousain,1ère ligne,20 Janvier 1990,Japon,,
SAID HIRECHE,CA Brive,3e ligne,27 Mai 1985,France,183,100
Thomas HOARAU,RC Toulon,3e ligne,1 Juin 1995,France,,
Loïc HOCQUET,SU Agen,3e ligne,19 Janvier 1999,France,,
ZACK HOLMES,Stade Toulousain,Demi d'ouverture,30 Mai 1990,Grande-Bretagne,,
Wilfrid Hounkpatin,Castres Olympique,1ère ligne,29 Juillet 1991,France,,
Wilfrid Hounkpatin,Castres Olympique,1ère ligne,29 Juillet 1991,France,,
YOANN HUGET,Stade Toulousain,Ailier,2 Juin 1987,France,190,97
REMI HUGUES,Stade Toulousain,1ère ligne,19 Avril 1986,France,183,115
IOANE IASHAGASHVILI,Aviron Bayonnais,3e ligne,23 Avril 2000,Géorgie,,
Aretz IGUINIZ,Aviron Bayonnais,1ère ligne,3 Juin 1983,France,188,108
DANIEL IKPEFAN,RC Toulon,Ailier,18 Octobre 1993,France,185,92
JUAN IMHOFF,Racing 92,Trois quart aile,11 Mai 1988,Argentine,188,90
Henry IMMELMAN,Montpellier Hérault Rugby,Arrière,26 Mai 1995,Afrique du Sud,,
TEDDY IRIBAREN,Racing 92,Demi mêlée,25 Septembre 1990,France,170,70
FACUNDO ISA,RC Toulon,3e ligne,21 Septembre 1993,Argentine,,
ARTHUR ITURRIA,ASM Clermont,2e ligne,13 Mai 1994,France,,
Mickael IVALDI,LOU Rugby,1ère ligne,20 Février 1990,France,181,108
Loïc JACQUET,Castres Olympique,2e ligne,31 Mars 1985,France,198,114
Paul Jambon,Section Paloise,Demi mêlée,15 Janvier 2002,France,,
QUENTIN MICHAEL JAMES,Stade Français Paris,2e ligne,16 Août 1999,Angleterre,,
BROCK JAMES,Stade Rochelais,Demi d'ouverture,22 Octobre 1981,France,179,89
Louis Barrère,Section Paloise,1ère ligne,5 Février 2001,France,,
Romain BARTHELEMY,Aviron Bayonnais,Demi d'ouverture,25 Janvier 1990,France,184,97
Marc BARTHOMEUF,SU Agen,1ère ligne,19 Juillet 1991,France,174,98
MATHIEU BASTAREAUD,LOU Rugby,Trois quart centre,17 Septembre 1988,France,185,120
Armand BATLLE,Castres Olympique,Ailier,12 Avril 1987,France,188,90
